date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens
2026-09-01,2026-09-01-33484160918,india-2352208253,india,deccan-chronicle,publish,ok,,308,73,308,2776,44,90523,47080,43433,1382,246,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-4536791391,india,livemint,publish,ok,,887,124,887,209,41,174110,124728,49190,2138,271,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-3358794974,india,frontline,publish,ok,,3846,177,4435,663,61,664386,583250,80925,5628,395,0,,,,,,,
2026-09-01,2026-09-01-33484160918,india-7922499020,india,newslaundry,publish,ok,,375,96,375,662,58,108337,60625,47702,1513,269,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-2433826819,india,india-today,publish,ok,,1110,109,1110,504,74,222269,163583,58499,2516,318,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-3029329653,india,ht-business,publish,ok,,1071,123,1071,459,62,210327,152317,57823,2405,319,923,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-3050489516,ai,ibm-research-blog,publish,ok,not_prose,267,47,267,163,25,170195,140296,29888,1377,164,0,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-6099488250,ai,guardian-ai,publish,ok,,1140,111,1140,470,46,293762,247196,46512,2439,259,0,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-6891929424,ai,zdnet-ai,publish,ok,,1153,107,1153,284,264,207047,152594,54400,2419,302,923,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-0175491339,energy,energy-mix,publish,ok,,419,67,419,2839,82,195833,152561,43224,1496,238,0,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-6376342726,energy,balkangreen,publish,ok,,514,78,514,2787,42,124606,81005,43589,1712,243,922,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-8269826722,energy,inside-climate-news,publish,ok,,1665,117,1665,443,44,278598,223494,55001,3106,303,923,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-1156799945,energy,carbon-brief,publish,ok,,3846,210,4362,736,76,800875,692620,108155,6663,524,0,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-0133764741,business-economy,business-today-in,publish,ok,not_prose,681,46,681,165,54,174855,143505,31288,2323,172,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-6547231219,business-economy,guardian-business,publish,ok,,473,58,473,48,43,108930,68884,39981,1596,229,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-7268287810,business-economy,guardian-business,publish,ok,,1089,121,1089,145,81,214938,164187,50664,2530,282,923,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-6776821093,business-economy,bbc-business,publish,ok,,553,63,553,362,70,117169,79799,37360,1703,214,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-4056468361,business-economy,semafor,publish,ok,,125,65,125,355,24,50986,19825,31114,1116,184,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-9145296119,world,independent-world,publish,ok,,463,74,463,926,47,102612,64914,37687,1562,216,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-3474895258,world,cna-world,publish,ok,,382,93,382,828,99,100488,55346,45131,1466,262,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-6785326530,world,scmp-news,publish,ok,not_prose,76,33,76,442,91,36128,16886,19183,1085,114,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-8020032958,world,abc-au-world,publish,ok,,975,112,975,328,81,184136,133711,50340,2232,278,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-4581871143,world,npr-world,publish,ok,,1213,116,1213,697,40,239063,180256,58722,2687,325,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-6185455728,world,japan-times,publish,ok,,120,52,120,951,50,49279,20656,28574,1125,168,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-5209871423,world,france24,publish,ok,,135,61,135,263,72,57901,23747,34145,1156,199,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-1613654049,world,thehindu-intl,publish,ok,,877,129,877,467,47,179020,126718,52183,2163,293,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-0989273324,world,elpais-en,publish,ok,,1280,116,1280,315,73,240031,176671,63223,2647,345,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-3357667739,india,the-hindu-national,publish,ok,,712,144,712,128,45,174826,107170,67532,1971,378,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-7190512107,india,toi-india,publish,ok,,450,60,450,699,112,99044,64656,34377,1558,198,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-0501139167,india,livemint-companies,publish,ok,,529,54,529,334,36,108754,76286,32457,1672,187,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-0986476510,india,ht-business,publish,ok,,1149,112,1149,315,62,203907,156906,46908,2457,261,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-8180279463,india,dna-india,publish,ok,,768,98,768,2096,105,173838,119477,54223,2086,306,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-8615138985,india,mongabay-india,publish,ok,,1029,113,1029,368,33,199371,146201,53008,2352,295,923,,,,,,,
